Sample	Time	Encoder 1 Pos	Encoder 2 Pos	Control Effort
1	0.001	2	0	0
2	0.002	2	0	0
3	0.003	2	0	0
4	0.004	2	0	0
5	0.005	2	0	0
6	0.006	2	0	0
7	0.007	2	0	0
8	0.009	2	0	0
9	0.01	2	0	0
10	0.011	2	0	0
11	0.012	2	0	0
12	0.013	2	0	0
13	0.014	2	0	0
14	0.015	2	0	0
15	0.016	2	0	0
16	0.018	2	0	0
17	0.019	2	0	0
18	0.02	2	0	0
19	0.021	2	0	0
20	0.022	2	0	0
21	0.023	2	0	0
22	0.024	2	0	0
23	0.025	2	0	0
24	0.027	2	0	0
25	0.028	2	0	0
26	0.029	2	0	0
27	0.03	2	0	0
28	0.031	2	0	0
29	0.032	2	0	0
30	0.033	2	0	0
31	0.034	2	0	0
32	0.036	2	0	0
33	0.037	2	0	0
34	0.038	2	0	0
35	0.039	2	0	0
36	0.04	2	0	0
37	0.041	2	0	0
38	0.042	2	0	0
39	0.044	2	0	0
40	0.045	2	0	0
41	0.046	2	0	0
42	0.047	2	0	0
43	0.048	2	0	0
44	0.049	2	0	0
45	0.05	2	0	0
46	0.051	2	0	0
47	0.053	2	0	0
48	0.054	2	0	0
49	0.055	2	0	0
50	0.056	2	0	0
51	0.057	2	0	0
52	0.058	2	0	0
53	0.059	2	0	0
54	0.06	2	0	0
55	0.062	2	0	0
56	0.063	2	0	0
57	0.064	2	0	0
58	0.065	2	0	0
59	0.066	2	0	0
60	0.067	2	0	0
61	0.068	2	0	0
62	0.069	2	0	0
63	0.071	2	0	0
64	0.072	2	0	0
65	0.073	2	0	0
66	0.074	2	0	0
67	0.075	2	0	0
68	0.076	2	0	0
69	0.077	2	0	0
70	0.078	2	0	0
71	0.08	2	0	0
72	0.081	2	0	0
73	0.082	2	0	0
74	0.083	2	0	0
75	0.084	2	0	0
76	0.085	2	0	0
77	0.086	2	0	0
78	0.088	2	0	0
79	0.089	2	0	0
80	0.09	2	0	0
81	0.091	2	0	0
82	0.092	2	0	0
83	0.093	2	0	0
84	0.094	2	0	0
85	0.095	2	0	0
86	0.097	2	0	0
87	0.098	2	0	0
88	0.099	2	0	0
89	0.1	2	0	0
90	0.101	2	0	0
91	0.102	2	0	0
92	0.103	2	0	0
93	0.104	2	0	0
94	0.106	2	0	0
95	0.107	2	0	0
96	0.108	2	0	0
97	0.109	2	0	0
98	0.11	2	0	0
99	0.111	2	0	0
100	0.112	2	0	0
101	0.113	2	0	0
102	0.115	2	0	0
103	0.116	2	0	0
104	0.117	2	0	0
105	0.118	2	0	0
106	0.119	2	0	0
107	0.12	2	0	0
108	0.121	2	0	0
109	0.122	2	0	0
110	0.124	2	0	0
111	0.125	2	0	0
112	0.126	2	0	0
113	0.127	2	0	0
114	0.128	2	0	0
115	0.129	2	0	0
116	0.13	2	0	0
117	0.132	2	0	0
118	0.133	2	0	0
119	0.134	2	0	0
120	0.135	2	0	0
121	0.136	2	0	0
122	0.137	2	0	0
123	0.138	2	0	0
124	0.139	2	0	0
125	0.141	2	0	0
126	0.142	2	0	0
127	0.143	2	0	0
128	0.144	2	0	0
129	0.145	2	0	0
130	0.146	2	0	0
131	0.147	2	0	0
132	0.148	2	0	0
133	0.15	2	0	0
134	0.151	2	0	0
135	0.152	2	0	0
136	0.153	2	0	0
137	0.154	2	0	0
138	0.155	2	0	0
139	0.156	2	0	0
140	0.157	2	0	0
141	0.159	2	0	0
142	0.16	2	0	0
143	0.161	2	0	0
144	0.162	2	0	0
145	0.163	2	0	0
146	0.164	2	0	0
